first_name,middle_name,last_name,sex,birth_date,birth_city,birth_country,death_date,death_city,death_country
Victor,Christopher,Smith,M,1719-03-09,Laurenborough,Macao,1761-06-30,North Chase,Romania
Jared,Antonio,Salazar,M,1709-09-11,North Jeffrey,Seychelles,1857-01-30,New Joshua,French Guiana
Steven,Anita,Collins,F,1714-10-02,North Jasminemouth,Spain,1788-08-29,Crystalland,Montserrat
Jonathan,Andrew,Hansen,F,1742-12-02,New Josephside,Saint Martin,1803-04-03,East Benjaminport,Mayotte
Edwin,Rachael,Fisher,F,1712-01-07,Alexandershire,Yemen,1764-08-28,West Kellyville,Finland
Michael,Bonnie,Norris,F,1728-03-17,Reneeville,Cayman Islands,1827-03-23,Escobarview,Congo
Cristian,Katie,Arias,M,1685-07-04,Pierceburgh,Italy,1717-03-02,Rebeccaborough,Philippines
Andrew,David,Rodriguez,F,1718-07-18,Hahnside,Western Sahara,1834-08-29,Port Christophermouth,Macao
Vernon,Jeffrey,Bowers,F,1742-02-05,South Thomas,Turks and Caicos Islands,1881-08-28,Lake Maxwellstad,Nauru
Christian,William,Ortega,F,1710-12-31,East Natasha,Bangladesh,1842-10-16,Jenniferstad,Saint Lucia
Paul,Anna,Lambert,F,1723-10-01,Michaelmouth,Canada,1807-08-18,Mirandafurt,Djibouti
Michael,Kimberly,Hernandez,F,1722-08-16,Bensonside,Vanuatu,1725-11-16,Castilloport,Greece
Clinton,Alicia,Smith,M,1676-10-22,Lake Kelsey,Nauru,1721-08-28,Johnsonport,South Africa
Jeffrey,Robert,Andrews,M,1697-07-07,North Christopher,Romania,1729-09-05,Olsontown,Nauru
Marvin,Charlene,Crawford,M,1740-09-25,Jenniferchester,Guadeloupe,1741-01-29,Garnerside,China
Lawrence,Christine,Chavez,M,1705-05-02,Boonetown,Tanzania,1842-10-19,Millerchester,Solomon Islands
Tommy,Sherry,Cruz,F,1727-07-14,North Christianstad,Vanuatu,1782-07-14,Mortonhaven,Turkey
Gary,Jesse,Pollard,F,1732-06-13,Baldwinchester,Madagascar,1828-04-10,Macdonaldmouth,Latvia
Joshua,Debra,Day,M,1730-09-25,Jasonview,Monaco,1742-10-23,South Tyroneberg,Myanmar
Michael,John,King,F,1738-02-06,Thomashaven,French Guiana,1869-12-10,Brownchester,Christmas Island
Brent,Kathleen,Cochran,M,1725-09-19,South Bradleytown,Maldives,1764-10-11,Brennanborough,Tanzania
Ricardo,Brandon,Perry,M,1754-06-08,Kylebury,Peru,1901-06-09,Fuentesborough,Ukraine
Timothy,Lori,Reynolds,F,1719-03-27,New Rhondaton,Tanzania,1850-10-04,West Ronaldland,Angola
William,Vincent,Huynh,M,1709-12-18,Crystalburgh,Micronesia,1719-11-28,Palmerhaven,Saint Kitts and Nevis
Cory,Patricia,Ward,M,1767-02-19,West Joseph,Hong Kong,1876-02-09,East Jasonbury,South Georgia and the South Sandwich Islands
Brett,Jennifer,Erickson,M,1732-03-30,Susanberg,Norfolk Island,1861-06-25,Leonardport,Turkmenistan
Patrick,Lydia,Hamilton,M,1751-02-27,Rosestad,Tuvalu,1836-01-07,New Jeffreychester,Croatia
Edwin,Kevin,Chavez,M,1701-04-25,Smithtown,Canada,1785-10-24,South Erikland,Eritrea
Richard,John,Rojas,M,1737-09-22,East Adrianside,Romania,1831-05-20,East Michaelmouth,Chad
Robert,Christopher,Lee,M,1747-09-19,Natashamouth,Isle of Man,1777-11-24,East Emilyberg,Christmas Island
Luis,Michael,Stout,M,1721-10-11,East Jacqueline,Venezuela,1745-02-14,West Kariburgh,Guinea
Michael,Douglas,Anderson,F,1691-11-09,New Patty,Italy,1719-12-21,Karahaven,Turkey
Mark,Michael,Brennan,F,1703-07-22,South Robertfurt,Bahrain,1729-11-20,North Elizabeth,Monaco
Tyler,Thomas,Sanchez,F,1688-09-27,North Christopher,Antigua and Barbuda,1742-05-18,Gallowaymouth,Isle of Man
John,Rebecca,Carr,M,1727-12-12,Loriport,Lao People's Democratic Republic,1764-01-31,North Heidibury,United States Virgin Islands
Richard,Brittany,Black,F,1699-07-18,West Kathyville,Zambia,1755-09-17,Lake Christopher,Norfolk Island
James,Dustin,Simmons,M,1690-05-08,West Kevinfort,Montenegro,1698-07-07,South Daniellechester,Gabon
Dwayne,Paula,Fox,M,1764-05-28,Emilymouth,Costa Rica,1846-11-27,Lake Michaelaside,Saint Lucia
Tracy,Emily,Garrison,M,1766-03-03,Hernandezchester,Cameroon,1848-11-10,Gabrielbury,Holy See (Vatican City State)
Ronald,Sylvia,Woodard,F,1728-10-10,Donaldport,China,1851-09-26,West Makayla,Solomon Islands
Alejandro,Elizabeth,Young,M,1719-03-03,Lake Kelsey,Rwanda,1828-10-09,Lake Nathanielberg,Israel
Kyle,Judy,Jones,M,1768-02-24,Lake Davidborough,Argentina,1855-08-29,Port Jonathan,Guadeloupe
Ryan,Amanda,Oliver,M,1732-01-10,Thomasville,Uzbekistan,1792-12-17,East Matthew,Portugal
Earl,Kimberly,Arroyo,M,1748-01-02,Martinezmouth,Iceland,1780-10-23,New Malikland,Brunei Darussalam
Kevin,Hunter,Mejia,M,1683-03-10,West Troy,Kyrgyz Republic,1812-05-02,North Jacqueline,Paraguay
Earl,Victor,Richardson,M,1710-09-12,Muellerland,Moldova,1771-07-07,East Michaelfurt,Western Sahara
John,Pamela,Vasquez,F,1768-07-12,Roberthaven,Grenada,1911-01-12,Port Christineborough,Israel
Rodney,David,Peters,F,1716-11-24,Phillipsfort,Ecuador,1810-05-05,East Gabriel,Guernsey
Tyler,James,Meyer,M,1713-08-08,Lake Kevin,Malaysia,1753-11-02,East Eric,Guernsey
Robert,Alexis,Johnson,F,1759-06-20,Ortizland,United States Minor Outlying Islands,1830-09-05,Port Ronaldfurt,Guatemala
Michael,Samuel,Baker,M,1698-04-01,New Brian,Pakistan,1793-04-07,Timothyside,Micronesia
James,Anne,Calderon,M,1745-01-19,Chelseabury,Martinique,1763-02-18,Collinsburgh,Jersey
Robert,Dawn,King,F,1688-06-26,East Ronald,Burkina Faso,1750-05-01,East Nicoletown,Comoros
William,Amanda,Tran,M,1715-01-31,Stevenhaven,Cocos (Keeling) Islands,1720-12-28,West Edwin,Ecuador
David,Priscilla,Jones,M,1717-05-04,North Kristenstad,Saint Martin,1838-11-28,South Rebecca,British Indian Ocean Territory (Chagos Archipelago)
Bob,Shaun,Rogers,F,1757-08-07,Schmidtfort,Lebanon,1866-11-25,Michaelfurt,Holy See (Vatican City State)
Christopher,Amber,Terry,M,1715-06-17,New Veronicaville,Jamaica,1751-01-05,Crystalville,Mali
Thomas,Anita,Jensen,F,1750-05-25,Carolfurt,Tokelau,1784-11-02,South Gregory,Haiti
Matthew,Leah,Conrad,M,1705-11-15,Taraburgh,Portugal,1818-04-01,Tammyshire,Guernsey
Charles,Emily,James,F,1752-11-19,East Gerald,Mauritius,1809-10-22,Phillipsstad,Mali
Brandon,Kyle,Garner,M,1755-06-22,Shafferfurt,Finland,1844-07-14,Emilymouth,Antigua and Barbuda
Jason,Katherine,Brady,M,1772-02-29,Lynnmouth,Lithuania,1815-03-13,Martinmouth,Latvia
Christopher,Lori,Myers,F,1699-12-19,Contreraschester,Estonia,1781-08-26,Johnsonland,Nigeria
Luis,William,Clark,F,1698-06-18,Michaelland,Saint Martin,1838-10-06,Andrewsside,Comoros
Jonathan,Carrie,Lewis,M,1673-04-15,Beanstad,Mozambique,1719-10-31,Snyderchester,Gabon
Bruce,Jennifer,Nolan,M,1750-08-12,Smithland,Hungary,1895-07-01,West Toddmouth,Isle of Man
Brandon,Kimberly,Booker,M,1678-08-31,New Carlos,Cyprus,1819-07-24,Greenland,Canada
James,Matthew,Anderson,F,1722-05-15,Aguirremouth,El Salvador,1811-04-21,Thomasberg,Korea
Brandon,Bradley,Morales,M,1717-06-10,Alexisburgh,Tajikistan,1764-12-08,Derrickport,Nicaragua
Tyler,Maurice,Smith,M,1679-12-21,Smithchester,Bhutan,1685-02-16,Jeremiahshire,Central African Republic
Paul,Brett,Garcia,F,1744-06-21,Frankstad,Hong Kong,1758-07-08,East Stephenmouth,Mongolia
Zachary,Gina,Johnson,M,1753-02-22,East Luisberg,United States Virgin Islands,1868-08-04,North Daniellefurt,Burkina Faso
Kyle,Todd,Massey,M,1687-02-28,Perryville,Ghana,1728-10-04,Morrowhaven,Reunion
Mark,Elizabeth,Benjamin,M,1751-06-02,West Haileystad,Djibouti,1848-01-07,Hallbury,Tonga
Andrew,Cody,Mitchell,M,1741-10-30,Kimmouth,Heard Island and McDonald Islands,1841-03-12,Lake Johnbury,Ireland
Vincent,Manuel,Stafford,F,1694-08-09,Randolphberg,Dominican Republic,1818-07-03,Kimstad,Macao
Connor,Lauren,Miles,F,1757-03-04,Davidfurt,France,1870-12-08,South Christian,American Samoa
Joseph,Gina,King,M,1682-03-04,South Jesuston,Senegal,1771-03-31,Harrisonton,Finland
Brian,Shawn,Harris,M,1752-09-01,Amandafurt,Liechtenstein,1885-11-12,New Kristina,Ukraine
Michael,Teresa,Ballard,M,1714-09-14,Rubenstad,Lithuania,1740-03-30,Dianeshire,Switzerland
Elijah,Denise,Miller,F,1748-02-14,West Sarahchester,Zambia,1779-08-11,Ryanshire,United States of America
Donald,Pamela,Mann,F,1773-01-07,Coreychester,Saint Kitts and Nevis,1906-06-03,Josephmouth,China
Timothy,Jason,Aguilar,F,1674-01-11,Juliaside,Sao Tome and Principe,1774-09-05,East Anthony,Canada
Thomas,Elizabeth,Aguilar,M,1712-04-16,West Abigail,United Kingdom,1829-03-27,East Patriciaport,Mauritius
Jeffery,Lisa,Thomas,F,1707-09-19,Nicholasberg,New Zealand,1775-07-17,Luisville,Congo
Alexander,John,Hicks,M,1679-05-06,Ortizhaven,Netherlands,1790-09-28,Lake Edward,Tokelau
Michael,Cody,Woods,M,1764-04-25,West Jason,Netherlands,1900-09-03,Kevinfort,Vietnam
Ryan,Teresa,Brown,M,1725-09-02,Hunterhaven,Peru,1809-02-19,South Charlesberg,Congo
Brandon,Robert,Alvarado,M,1763-02-14,New Brandonfurt,Korea,1805-06-12,New Alexis,Kazakhstan
Ian,Katherine,Martin,F,1714-11-19,New Hollyfurt,Equatorial Guinea,1759-01-22,Teresastad,Madagascar
Paul,Cynthia,Reynolds,F,1733-05-23,Port Jeremiahchester,Palestinian Territory,1814-05-10,South Christopherland,Ecuador
Matthew,Annette,Farrell,M,1760-04-02,Lake Dennisstad,Nicaragua,1772-07-19,Lake Paulburgh,Estonia
Charles,Ryan,Harrison,M,1688-08-27,South James,Argentina,1806-08-22,Tracyport,Colombia
Jacob,Justin,Young,F,1770-08-18,Aliciaville,British Indian Ocean Territory (Chagos Archipelago),1827-06-12,New Carlamouth,Saint Barthelemy
Cody,Howard,Shah,F,1702-11-28,New James,Singapore,1762-02-27,Williamsfurt,Monaco
Colton,Michael,Ramos,F,1760-09-15,Lake Kendramouth,Afghanistan,1868-03-28,Paulstad,Bulgaria
Eric,Jill,Anderson,M,1707-05-21,Port Rachelberg,Reunion,1805-02-05,Singletontown,Lao People's Democratic Republic
Daniel,Brian,Walker,M,1755-02-14,New Brian,Iceland,1835-04-25,Yangview,Niger
Dennis,Margaret,Rice,M,1720-09-08,South Deanna,Heard Island and McDonald Islands,1751-02-19,Douglashaven,Gambia
Michael,Henry,Hampton,F,1769-06-20,Port Carlos,Malaysia,1855-05-22,East Keithville,Slovakia (Slovak Republic)
Robert,Jessica,Manning,F,1690-07-19,Daveberg,Oman,1791-05-03,Spencershire,Hong Kong
Matthew,Lee,Yang,F,1755-09-06,New Jenniferhaven,Timor-Leste,1777-11-13,New Matthew,Saint Pierre and Miquelon
Gregory,Jose,Nelson,M,1768-02-23,Hannahfurt,San Marino,1917-11-25,Woodsfort,Palau
Alexander,Bryan,Gonzalez,F,1706-06-09,East Charlesborough,Jersey,1768-10-26,Jamesmouth,Brazil
Nicholas,Michael,Martinez,F,1770-09-12,West Francesfurt,Saint Lucia,1883-09-25,Cameronshire,Cyprus
Richard,Kevin,Miller,M,1762-04-11,Johnnyport,Uruguay,1847-03-27,Dustinburgh,Guadeloupe
Joseph,Tina,Jensen,M,1762-12-30,Sanchezbury,Montserrat,1777-07-05,Margaretland,Yemen
Brian,Jessica,Whitney,M,1772-12-02,West Davidton,Guinea-Bissau,1871-10-14,Patrickmouth,Madagascar
David,Courtney,Chavez,F,1771-07-08,East Monica,Suriname,1898-09-24,New Thomasmouth,Malaysia
John,Lauren,Rivera,M,1691-09-19,Danieltown,United Arab Emirates,1774-01-11,North Desireefurt,Belarus
Benjamin,Paula,Nelson,F,1747-08-31,Smithview,Uzbekistan,1814-06-29,Snyderchester,Venezuela
Thomas,Anna,Williams,F,1745-06-14,Lake Jennifer,Svalbard & Jan Mayen Islands,1777-06-13,Hortonburgh,Saint Lucia
Andrew,Robert,Oconnor,M,1745-01-23,Ramirezside,Iran,1839-04-02,Scotthaven,Paraguay
Allen,Sheila,Miller,M,1695-05-14,West Tamaraland,Congo,1775-06-21,Christophermouth,United States Minor Outlying Islands
Nathan,John,Dominguez,M,1690-04-12,Port Rebeccatown,Tokelau,1800-01-26,Popeland,Sierra Leone
Thomas,Paul,Melendez,F,1765-06-28,Port Jorgeberg,Djibouti,1767-09-22,Port Jennifer,Gabon
Daniel,Erica,Phillips,F,1721-09-04,Meyerview,Oman,1795-03-01,West Allenmouth,Nepal
Robert,Laura,Sanchez,M,1748-06-26,South Victoriafort,Antarctica (the territory South of 60 deg S),1838-05-04,South Cassandra,Dominican Republic
Bryan,Kevin,Rodriguez,M,1702-04-30,East Williamland,Mexico,1748-11-18,North Kathy,Greece
Kenneth,Austin,Todd,M,1679-06-10,West Aaron,Cayman Islands,1799-06-04,Maddoxport,Iraq
David,Bryan,Harris,M,1699-06-14,North Christopherland,Vietnam,1839-06-26,East Monicaborough,Greece
Blake,Paul,Jefferson,M,1743-03-29,West Marilynshire,Sweden,1754-04-26,East Marychester,United Kingdom
Jeffrey,Christie,Huerta,M,1741-04-17,North Anthonyton,Cocos (Keeling) Islands,1886-09-07,North Jessicaton,British Virgin Islands
Robert,Kelly,Whitehead,M,1723-02-23,Carlosville,Congo,1822-01-03,Port Michaelborough,Solomon Islands
Mark,Samantha,Flores,F,1764-12-20,Scottton,Bouvet Island (Bouvetoya),1843-10-30,Jamestown,Zimbabwe
Travis,Jennifer,Roach,F,1756-06-02,Jamesbury,Guernsey,1801-05-28,Terranceton,Ireland
Willie,Tonya,Brown,F,1702-03-20,New Laurie,Turks and Caicos Islands,1742-02-25,Romeromouth,French Southern Territories
Eric,Heather,Bauer,F,1680-09-16,Andreabury,China,1762-08-19,Josehaven,Grenada
Alexander,Matthew,Johnson,F,1710-04-10,South Bryantown,Liechtenstein,1728-03-02,South Cynthiafurt,Iran
John,Sabrina,Cooper,F,1689-12-06,Annashire,Belgium,1830-12-29,Nicholsview,Mauritania
Michael,Walter,Phillips,M,1714-10-31,North Alexander,Guyana,1783-10-08,Ronaldfort,Christmas Island
Kevin,Holly,Duffy,F,1702-03-25,Wheelerberg,Madagascar,1731-09-08,West Jasontown,Belarus
Christopher,Stephanie,Foley,F,1687-08-29,Brentburgh,Bermuda,1802-06-12,Morganmouth,Czech Republic
Nathan,Benjamin,Lyons,F,1721-09-07,West Jacobhaven,Monaco,1745-03-03,Barbaraberg,North Macedonia
Travis,Daniel,Haney,F,1768-11-30,South Josephfurt,Korea,1789-09-14,Liuville,Jordan
Brian,Nancy,Ruiz,M,1710-05-14,Kyliemouth,Colombia,1796-05-24,Ashleyton,Finland
Alex,Thomas,Ferguson,M,1683-01-02,New Michaelberg,British Virgin Islands,1690-03-13,Lake Matthewmouth,Chile
Michael,Jeremy,Hicks,M,1724-05-08,Lake Emilyburgh,Peru,1810-06-11,Chapmanshire,Iran
Richard,Alexander,Simmons,M,1681-05-03,Caldwelltown,Guam,1728-07-17,North Robert,Grenada
Edward,Leonard,Young,M,1718-02-15,Nguyenton,Seychelles,1852-04-12,East Michelleburgh,Poland
Chad,Craig,Johnson,F,1758-12-08,North Richardfurt,Saint Pierre and Miquelon,1827-10-19,Villanuevatown,Congo
Steven,Regina,Franklin,F,1735-10-18,Lake Michael,Portugal,1738-02-08,Woodland,Lithuania
Calvin,Evan,Neal,M,1699-12-31,East Lauren,Tanzania,1736-06-16,New Michael,Barbados
Wesley,Timothy,Miller,F,1717-01-23,Lake Amy,Uruguay,1740-05-21,South John,Albania
Luke,Cheryl,Riley,F,1700-05-29,Lake Aaronstad,United States Virgin Islands,1759-04-18,Reedborough,New Caledonia
Jimmy,Elizabeth,Salas,F,1765-09-21,South Davidtown,Uganda,1780-06-29,Marqueztown,Saint Kitts and Nevis
Brandon,Brent,Buchanan,M,1743-04-18,Lake Nicoleburgh,Qatar,1776-09-24,Alexshire,Kyrgyz Republic
Ian,Michael,Holt,F,1679-11-02,Jasonmouth,Russian Federation,1711-10-12,Lowerystad,China
Logan,Alan,Novak,F,1752-07-14,Mcbrideville,New Caledonia,1870-02-28,Caseytown,Wallis and Futuna
James,Bryan,Garcia,F,1694-07-30,East Allisonport,Serbia,1796-03-04,New Brenda,Angola
Barry,Robert,Ryan,F,1767-08-21,Lake Aaron,Faroe Islands,1886-01-24,North William,Northern Mariana Islands
Michael,Jamie,Grimes,F,1742-09-25,North Ricky,Dominica,1830-03-17,West Troy,Korea
Maurice,Kristen,Curtis,F,1751-11-02,Parkschester,Greece,1853-03-11,Justinhaven,Montserrat
Jorge,Wayne,Brown,F,1738-09-19,South Jamie,Cyprus,1765-04-04,Longtown,Falkland Islands (Malvinas)
Christopher,Molly,Cook,M,1751-07-26,South Danielle,Congo,1760-04-29,Seanport,Palestinian Territory
David,Teresa,Sandoval,F,1698-02-12,Karenhaven,Saint Kitts and Nevis,1823-08-26,Robertburgh,Bangladesh
David,Mark,Nguyen,M,1674-03-26,East Tyler,Taiwan,1688-12-21,East Gabriel,Nicaragua
Larry,Samuel,Walker,M,1744-08-15,Heberthaven,United Kingdom,1872-02-14,North Jennifer,Sao Tome and Principe
Dennis,Jennifer,Hicks,M,1715-07-17,New Brentfort,Japan,1806-12-07,Stokesville,Cuba
Joshua,Renee,Jones,F,1750-02-10,Port Jenniferbury,Azerbaijan,1898-07-05,Port Sharon,Argentina
Joshua,Jessica,Davis,F,1765-11-27,Port Jeremymouth,China,1823-01-10,Lake Joshua,Qatar
Jason,Andrew,Hurst,M,1675-07-20,Nicoleport,Wallis and Futuna,1732-07-12,Port Melissatown,Romania
Andrew,Sheila,Moss,F,1691-12-05,Valerieville,Niger,1795-04-21,Melaniechester,Korea
David,Alison,Griffith,M,1687-06-06,Jameschester,Isle of Man,1721-10-25,Daltonland,Poland
Charles,Angela,Garrett,F,1746-07-08,Jonesview,Western Sahara,1811-11-01,North Codymouth,Western Sahara
Joseph,Amanda,Pearson,M,1686-09-12,Sarahborough,Chile,1740-02-07,East Amandabury,Tonga
Justin,Billy,Gilbert,F,1750-08-20,Chadville,Montenegro,1894-04-21,New Cheryl,Cook Islands
Alexander,Carlos,Esparza,M,1728-04-10,Port Jamesburgh,Pitcairn Islands,1796-04-26,Susanborough,Saudi Arabia
Darren,Laura,Gonzalez,F,1716-11-09,New Williamside,French Guiana,1741-05-29,West Janet,Saint Lucia
Christopher,Heather,Franklin,F,1701-05-27,Gouldland,Guinea,1743-02-10,Port Sherry,Vanuatu
Robert,Jonathan,Kelly,F,1722-01-09,New Daniel,Angola,1736-12-30,Welchview,Ireland
Brian,Gary,Wells,M,1729-05-01,Port Beverly,Benin,1843-11-23,Ericmouth,Mauritania
Jonathan,Felicia,French,F,1774-01-02,Masonborough,Liberia,1888-03-24,West Calvin,Pakistan
Anthony,Kristen,Thompson,F,1774-02-06,New Cherylton,Hungary,1834-07-21,West Michelleborough,Afghanistan
Henry,Kathy,Paul,M,1760-09-07,North Mackenziechester,Vanuatu,1783-10-11,West Rita,Cocos (Keeling) Islands
Shawn,Claire,Hernandez,M,1678-02-20,Michelleberg,Saint Barthelemy,1700-04-13,North Angelaberg,Liberia
David,Ryan,Patterson,F,1682-01-07,Kimberlyburgh,Venezuela,1703-12-09,Joshuafurt,Italy
Christopher,Barbara,Walker,F,1678-04-14,Petersville,Martinique,1721-11-05,Samanthaton,Saint Martin
Kevin,Stephanie,Young,F,1716-11-16,Seanbury,Saint Lucia,1861-03-10,Lake Kevinfurt,South Africa
Luis,Gabriel,Walters,M,1676-04-26,Johnstonmouth,Bermuda,1789-10-05,Port Jonathan,Israel
Daniel,Adam,Wall,F,1703-11-23,Allenhaven,Austria,1825-12-03,North Mitchell,Kuwait
Andrew,Walter,Turner,M,1722-01-08,Camerontown,Taiwan,1789-05-20,Lake Julie,Jamaica
Jesse,Andrew,Carpenter,F,1770-01-08,New Steven,Nigeria,1901-01-31,Thompsonton,Yemen
Thomas,Joan,Delgado,M,1753-07-12,Lesterton,Rwanda,1772-05-04,Brandonville,Djibouti
Hunter,Robert,James,F,1719-09-12,Bethville,Belarus,1858-11-27,Matthewsstad,Tunisia
Christopher,Betty,Barron,M,1722-01-12,Samueltown,Netherlands Antilles,1747-03-13,Jeannemouth,British Virgin Islands
Jose,Kimberly,Mccoy,M,1769-03-07,West Sarahhaven,China,1838-11-09,Ramirezfurt,Hungary
Darren,Leslie,James,M,1750-04-23,New Michael,Bhutan,1751-12-12,South Shane,Congo
Raymond,Thomas,Johnson,M,1729-04-30,Deborahstad,Vanuatu,1827-12-17,Williamshaven,Jordan
Matthew,Brittany,Matthews,F,1737-11-14,North Garrettland,North Macedonia,1855-09-13,Davidshire,Iraq
Aaron,Michael,Smith,F,1694-01-19,South Todd,Samoa,1836-05-05,Greenfort,Comoros
William,Amber,Hester,M,1695-01-05,Nguyenborough,Bolivia,1745-07-28,Lake Blake,Armenia
Jared,David,Smith,M,1734-01-09,Leestad,Benin,1808-07-22,Heathermouth,Mali
Timothy,Lisa,Smith,F,1765-01-01,South Michael,Costa Rica,1894-09-27,North Joshua,Bolivia
Joseph,Michael,Chen,F,1736-01-08,Robertchester,Marshall Islands,1836-08-13,Williammouth,Antarctica (the territory South of 60 deg S)
Douglas,Brian,Phillips,M,1742-02-25,Port Daniel,Estonia,1751-02-09,Anitachester,Uruguay
Benjamin,Rebecca,Castro,M,1723-03-23,Sotochester,Saint Barthelemy,1753-10-14,New David,Bolivia
Alexander,Tiffany,Charles,F,1679-12-24,South Amyton,Cameroon,1770-06-22,West Chase,Puerto Rico
Ronald,Mike,Mendoza,M,1746-07-19,Beckerfurt,Papua New Guinea,1892-10-09,Tyroneview,Moldova
Kenneth,Holly,Maldonado,F,1735-08-02,New Michelle,Lebanon,1822-12-26,Ericmouth,Nepal
Kevin,Jennifer,Tanner,M,1760-06-03,Jamieton,Jersey,1829-09-08,South Renee,Faroe Islands
Matthew,Dean,Walter,F,1681-03-15,Smithfort,Tunisia,1749-12-18,Michaelville,Turkmenistan
Thomas,Travis,Jackson,F,1741-11-08,South Brittanybury,Gibraltar,1836-05-04,Kevinborough,Sri Lanka
Eric,David,Simmons,M,1739-11-19,Lorifurt,Cote d'Ivoire,1863-08-03,Victoriaberg,Nicaragua
Cody,Michael,Bradshaw,F,1760-07-23,East Maryton,Malta,1765-08-01,Micheletown,Korea
Roger,Brittney,White,M,1674-12-12,West Ianchester,Uruguay,1722-09-07,Ochoabury,Tajikistan
Scott,Nicole,Porter,M,1773-04-12,South Alexmouth,Tunisia,1790-05-22,Lake Stephenland,Turkmenistan
Eric,Nicholas,Medina,F,1716-02-14,Williamfurt,Ethiopia,1761-09-10,Alejandroville,Singapore
Michael,Austin,Mullins,M,1739-05-20,Mayerchester,Haiti,1865-02-26,Saraton,Trinidad and Tobago
Jeffrey,Crystal,Sanchez,M,1717-09-15,West Jennifer,Moldova,1840-01-16,Jessicaport,Chile
Ronald,Connie,Rivera,F,1706-09-01,Priceville,Norfolk Island,1850-03-23,Lake Laura,Palestinian Territory
Daniel,Margaret,Thompson,F,1683-06-28,West Chelsea,Yemen,1703-02-20,Andersonshire,Iraq
Bruce,Maria,Ayers,M,1716-07-13,North Jennifer,Holy See (Vatican City State),1778-09-09,Jacobstad,Finland
Jonathan,Brianna,Howard,F,1694-02-11,East Brandon,Vanuatu,1752-05-27,New Alan,Saint Vincent and the Grenadines
Joseph,Jon,Richardson,F,1761-11-18,Laneborough,Slovenia,1877-03-15,South Amber,Ukraine
Matthew,Rachel,Hudson,F,1688-01-21,Port Debraport,Greece,1692-12-07,New Angela,Falkland Islands (Malvinas)
